PARENT/Child,Question,Correct Answer,Tag
Child,7,A or a or C or c or D or d or G or g,listen.mtc
Child,8,C or c,listen.mcq
Child,9,A or a,listen.mcq
Child,10,B or b,listen.mcq
PARENT,ielts17AT4005,,
Child,1,VI or vi,read.mtchead
Child,2,IV or iv,read.mtchead
Child,3,VII or vii,read.mtchead
Child,4,II or ii,read.mtchead
Child,5,IX or ix,read.mtchead
Child,6,I or i,read.mtchead
Child,7,V or v,read.mtchead
Child,8,BRAVE NEW WORLD or Brave New World,read.shans
Child,9,LOIS LOWRY or Lois Lowry,read.shans
Child,10,HONEST or Honest or honest,read.shans
Child,11,ENVIRONMENTAL CATASTROPHE or Environmental Catastrophe or Environmental catastrophe or environmental catastrophe,read.shans
Child,12,PERSONAL IDENTITY or Personal Identity or Personal identity or personal identity,read.shans
Child,13,D or d,read.mcq
PARENT,ielts17AT4006,,
Child,1,HUMANS AND ANIMALS or Humans And Animals or Humans and Animals or Humans and Animals or Humans and animals or humans and animals,read.sentcom
Child,2,NATURAL LIGHT or Natural Light or Natural light or natural light,read.sentcom
Child,3,ALLELOPATHY or Allelopathy or allelopathy,read.sentcom
Child,4,ENERGY or Energy or energy,read.sentcom
Child,5,ORGANIC COMPOUND or Organic Compound or Organic compound or organic compound,read.sentcom
Child,6,INHIBIT GROWTH or Inhibit Growth or Inhibit growth or inhibit growth,read.sentcom
Child,7,MOLECULAR MECHANISM or Molecular Mechanism or Molecular mechanism or molecular mechanism,read.sentcom
Child,8,SMALL DOSES or Small Doses or Small doses or small doses,read.sumcom
Child,9,ALL HERBIVORES or All Herbivores or All herbivores or all herbivores,read.sumcom
Child,10,IMMEDIATELY LETHAL or Immediately Lethal or Immediately lethal or immediately lethal,read.sumcom
Child,11,HOLLOWED-OUT STRUCTURES or Hollowed-Out Structures or Hollowed-out Structures or Hollowed-out structures or hollowed-out structures,read.sumcom
Child,12,GIRAFFES or Giraffes or giraffes,read.sumcom
Child,13,TRUE or True or true or T or t,read.tfng
Child,14,NOT GIVEN or Not Given or Not given or not given,read.tfng
PARENT,ielts17AT4007,,
Child,1,C or c,read.mtcinfo
Child,2,D or d,read.mtcinfo
Child,3,A or a,read.mtcinfo
Child,4,G or g,read.mtcinfo
Child,5,E or e,read.mtcinfo
Child,6,B or b,read.mtcinfo
Child,7,F or f,read.mtcinfo
Child,8,C or c,read.mcq
Child,9,A or a,read.mcq
Child,10,C or c,read.mcq
Child,11,NATURAL LANGUAGE or Natural Language or Natural language or natural language,read.shans
Child,12,EUGENICISTS or Eugenicists or eugenicists,read.shans
Child,13,OFFICIAL RECOGNITION or Official Recognition or Official recognition or official recognition,read.shans
PARENT,ielts17AT5001,,listen.forcom
Child,1,CARLETON or Carleton,listen.forcom
Child,2,020 8322 1479 or 02083221479,listen.forcom
Child,3,30th May or 30th MAY or 30 May or 30 MAY or May 30 or MAY 30 or May 30th or MAY 30th,listen.forcom
Child,4,30 or THIRTY or Thirty or thirty,listen.forcom
Child,5,MINI BURGERS or Mini Burgers or Mini burgers or mini burgers,listen.forcom
Child,6,VEGETABLE CROQUETTES or Vegetable Croquettes or Vegetable croquettes or vegetable croquettes,listen.forcom
Child,7,FIVE HUMMUS or Five Hummus or Five hummus or five hummus or FIVE HOUMOUS or Five Houmous or Five houmous or five houmous or 5 HUMMUS or 5 Hummus or 5 hummus or 5 HOUMOUS or 5 Houmous or 5 houmous,listen.forcom
Child,8,GOAT'S CHEESE or Goat's Cheese or Goat's cheese or goat's cheese or GOAT CHEESE or Goat Cheese or Goat cheese or goat cheese,listen.forcom
Child,9,4 or FOUR or Four or four,listen.forcom
Child,10,303 or THREE HUNDRED THREE or Three Hundred Three or Three hundred three or three hundred three,listen.forcom
PARENT,ielts17AT5002,,
Child,1,2006,listen.sentcom
Child,2,500 or FIVE HUNDRED or Five Hundred or Five hundred or five hundred,listen.sentcom
Child,3,SIBLINGS or Siblings or siblings,listen.sentcom
Child,4,BE KIND or Be Kind or Be kind or be kind,listen.sentcom
Child,5,WRITER'S BLOCK or Writer's Block or Writer's block or writer's block,listen.sentcom
Child,6,C or c,read.mcq
Child,7,C or c,read.mcq
Child,8,B or b,read.mcq
Child,9,INHERENTLY GOOD or Inherently Good or Inherently good or inherently good,listen.sentcom
Child,10,POVERTY or Poverty or poverty,listen.sentcom
PARENT,ielts17AT5003,,
Child,1,C or c,listen.mtc
Child,2,H or h,listen.mtc
Child,3,A or a,listen.mtc
Child,4,F or f,listen.mtc
Child,5,B or b,listen.mcq
Child,6,A or a,listen.mcq
Child,7,B or b,listen.mcq
Child,8,A or a,listen.mcq
Child,9,C or c,listen.mcq
Child,10,D or d,listen.mcq
PARENT,ielts17AT5004,,
Child,1,A or a or D or d or F or f,listen.mtc
Child,2,A or a or D or d or F or f,listen.mtc
Child,3,A or a or D or d or F or f,listen.mtc
Child,4,HIDE UNDER STONES or Hide Under Stones or Hide under stones or hide under stones,listen.sentcom
Child,5,SPONGY CONNECTIVE TISSUE or Spongy Connective Tissue or Spongy connective tissue or spongy connective tissue,listen.sentcom
Child,6,REPRODUCE ALONE or Reproduce Alone or Reproduce alone or reproduce alone,listen.sentcom
Child,7,WATER or Water or water,listen.sentcom
Child,8,MOUTH or Mouth or mouth,listen.sentcom
Child,9,B or b,listen.mcq
Child,10,A or a,listen.mcq
PARENT,ielts17AT5005,,
Child,1,FALSE or False or false or F or f,read.tfng
Child,2,TRUE or True or true or T or t,read.tfng
Child,3,TRUE or True or true or T or t,read.tfng
Child,4,FALSE or False or false or F or f,read.tfng
Child,5,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,6,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,7,C or c,read.mcq
Child,8,B or b,read.mcq
Child,9,D or d,read.mcq
Child,10,A or a,read.mcq
Child,11,BUSKING or Busking or busking,read.sentcom
Child,12,MELTING POT or Melting Pot or Melting pot or melting pot,read.sentcom
Child,13,SHORTCOMINGS or Shortcomings or shortcomings,read.sentcom
PARENT,ielts17AT5006,,
Child,1,D or d,read.mtcinfo
Child,2,G or g,read.mtcinfo
Child,3,B or b,read.mtcinfo
Child,4,F or f,read.mtcinfo
Child,5,E or e,read.mtcinfo
Child,6,A or a,read.mtcinfo
Child,7,C or c,read.mtcinfo
Child,8,E or e,read.mtcsentend
Child,9,A or a,read.mtcsentend
Child,10,H or h,read.mtcsentend
Child,11,B or b,read.mtcsentend
Child,12,G or g,read.mtcsentend
Child,13,A or a or D or d or F or F,read.mtcinfo
Child,14,A or a or D or d or F or F,read.mtcinfo
Child,15,A or a or D or d or F or F,read.mtcinfo
PARENT,ielts17AT5007,,
Child,1,THRILLING or Thrilling or thrilling,read.sumcom
Child,2,RISING PRICES or Rising Prices or Rising prices or rising prices,read.sumcom
Child,3,RAISING LIVESTOCK or Raising Livestock or Raising livestock or raising livestock,read.sumcom
Child,4,GENETIC ENGINEERING or Genetic Engineering or Genetic engineering or genetic engineering,read.sumcom
Child,5,HUMAN GENOME or Human Genome or Human genome or human genome,read.sumcom
Child,6,NUTRITIONALLY EXCELLENT or Nutritionally Excellent or Nutritionally excellent or nutritionally excellent,read.sumcom
Child,7,ASIA AND AFRICA or Asia And Africa or Asia and Africa,read.sumcom
Child,8,PRESENTATION or Presentation or presentation,read.sumcom
Child,9,GROW or Grow or grow,read.sumcom
Child,10,CARBON FOOTPRINT or Carbon Footprint or Carbon footprint or carbon footprint,read.sumcom
Child,11,STEM CELLS or Stem Cells or Stem cells or stem cells,read.sumcom
Child,12,ANIMAL SUFFERING or Animal Suffering or Animal suffering or animal suffering,read.sumcom
PARENT,ielts17AT6001,,
Child,1,B or b,listen.mcq
Child,2,B or b,listen.mcq
Child,3,A or a,listen.mcq
Child,4,C or c,listen.mcq
Child,5,C or c,listen.mcq
Child,6,G34C245,listen.forcom
Child,7,CAR or Car or car,listen.forcom
Child,8,POLICE or Police or police,listen.forcom
Child,9,JACKET or Jacket or jacket,listen.forcom
Child,10,REGISTRATION DETAILS or Registration Details or Registration details or registration details,listen.forcom
PARENT,ielts17AT6002,,
Child,1,STAFFROOM or Staffroom or staffroom or STAFF ROOM or Staff Room or Staff room or staff room,listen.sentcom
Child,2,MUSEUM or Museum or museum,listen.sentcom
Child,3,VISITORS or Visitors or visitors,listen.sentcom
Child,4,STAFFROOM or Staffroom or staffroom or STAFF ROOM or Staff Room or Staff room or staff room,listen.pmdlab
Child,5,STEPS or Steps or steps,listen.pmdlab
Child,6,STAFF TOILETS or Staff Toilets or Staff toilets or staff toilets,listen.pmdlab
Child,7,MUSEUM or Museum or museum,listen.pmdlab
Child,8,PHOTO BOOTH or Photo Booth or Photo booth or photo booth,listen.pmdlab
Child,9,B or b or E or e,listen.mtc
Child,10,B or b or E or e,listen.mtc
PARENT,ielts17AT6003,,
Child,1,A or a or C or c or D or d or F or f,listen.mtc
Child,2,A or a or C or c or D or d or F or f,listen.mtc
Child,3,A or a or C or c or D or d or F or f,listen.mtc
Child,4,A or a or C or c or D or d or F or f,listen.mtc
Child,5,A or a,listen.mcq
Child,6,C or c,listen.mcq
Child,7,CORRECT or Correct or correct,listen.sentcom
Child,8,AGING or Aging or aging or AGEING or Ageing or ageing,listen.sentcom
Child,9,FARMERS or Farmers or farmers,listen.sentcom
Child,10,MIND or Mind or mind,listen.sentcom
PARENT,ielts17AT6004,,
Child,1,ENGLISH or English,listen.forcom
Child,2,CITY or City or city,listen.forcom
Child,3,STYLE or Style or style,listen.forcom
Child,4,1175,listen.forcom
Child,5,COMPLETED or Completed or completed,listen.forcom
Child,6,GROUP or Group or group,listen.forcom
Child,7,GOTHIC or Gothic,listen.forcom
Child,8,126 METRES or 126 Metres or 126 metres or 126 METERS or 126 Meters or 126 meters,listen.forcom
Child,9,SCULPTURES or Sculptures or sculptures,listen.forcom
Child,10,PAINTED or Painted or painted,listen.forcom
PARENT,ielts17AT6005,,
Child,1,TRUE or True or true or T or t,read.tfng
Child,2,TRUE or True or true or T or t,read.tfng
Child,3,FALSE or False or false or F or f,read.tfng
Child,4,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,5,TRUE or True or true or T or t,read.tfng
Child,6,FALSE or False or false or F or f,read.tfng
Child,7,TRUE or True or true or T or t,read.tfng
Child,8,D or d,read.mcq
Child,9,B or b,read.mcq
Child,10,B or b,read.mcq
Child,11,C or c,read.mcq
Child,12,A or a,read.mcq
Child,13,D or d,read.mcq
PARENT,ielts17AT6006,,
Child,1,X or x,read.mtchead
Child,2,I or i,read.mtchead
Child,3,III or iii,read.mtchead
Child,4,V or v,read.mtchead
Child,5,II or ii,read.mtchead
Child,6,XI or xi,read.mtchead
Child,7,VIII or viii,read.mtchead
Child,8,"5 MILLION or 5 Million or 5 million or FIVE MILLION or Five Million or Five million or five million or 5,000,000 or 5000000",read.sumcom
Child,9,STORE or Store or store,read.sumcom
Child,10,LANDSLIDES or Landslides or landslides,read.sumcom
Child,11,EMISSIONS or Emissions or emissions,read.sumcom
Child,12,MANAGEMENT or Management or management,read.sumcom
Child,13,REVERSE or Reverse or reverse,read.sumcom
PARENT,ielts17AT6007,,
Child,1,NOT GIVEN or Not Given or Not given or not given,read.ynng
Child,2,NO or No or no or N or n,read.ynng
Child,3,NO or No or no or N or n,read.ynng
Child,4,YES or Yes or yes or Y or y,read.ynng
Child,5,YES or Yes or yes or Y or y,read.ynng
Child,6,NOT GIVEN or Not Given or Not given or not given,read.ynng
Child,7,REACTION or Reaction or reaction,read.sumcom
Child,8,NEOREALISM or Neorealism or neorealism,read.sumcom
Child,9,IMMIGRATED or Immigrated or immigrated,read.sumcom
Child,10,AUTHENTICITY or Authenticity or authenticity,read.sumcom
Child,11,CHARACTERS or Characters or characters,read.sumcom
Child,12,E or e,read.mtcsentend
Child,13,A or a,read.mtcsentend
Child,14,B or b,read.mtcsentend
PARENT,ielts17GT1001,,
Child,1,132,read.shans
Child,2,212,read.shans
Child,3,101,read.shans
Child,4,221,read.shans
Child,5,134,read.shans
Child,6,122,read.shans
Child,7,DRINK WATER or Drink Water or Drink water or drink water,read.shans
Child,8,D or d,read.mtcinfo
Child,9,C or c,read.mtcinfo
Child,10,E or e,read.mtcinfo
Child,11,A or a,read.mtcinfo
Child,12,B or b,read.mtcinfo
Child,13,F or f,read.mtcinfo
Child,14,G or g,read.mtcinfo
PARENT,ielts17GT1002,,
Child,1,STUDENT CENTRE or Student Centre or Student centre or student centre or STUDENT CENTER or Student Center or Student center or student center,read.shans
Child,2,67 or SIXTY-SEVEN or sixty-seven or SIXTY SEVEN or sixty seven,read.shans
Child,3,SATURDAY or Saturday,read.shans
Child,4,INTERNATIONAL STUDENT OFFICE or International Student Office,read.shans
Child,5,TOWN HOSPITAL or Town Hospital or Town hospital or town hospital or CASUALTY or Casualty or casualty,read.shans
Child,6,LIBRARY or Library or library,read.shans
Child,7,STUDENT CENTRE or Student Centre or Student centre or student centre or STUDENT CENTER or Student Center or Student center or student center,read.shans
Child,8,OR EQUIVALENT or Or Equivalent or Or equivalent or or equivalent,read.sumcom
Child,9,SUBJECTS or Subjects or subjects,read.sumcom
Child,10,ELIGIBLE or Eligible or eligible,read.sumcom
Child,11,A MINIMUM OF or A Minimum Of or A minimum of or a minimum of,read.sumcom
Child,12,BEFORE or Before or before,read.sumcom
Child,13,FURTHER INFORMATION or Further Information or Further information or further information,read.sumcom
PARENT,ielts17GT1003,,
Child,1,B or b,read.mtcinfo
Child,2,D or d,read.mtcinfo
Child,3,A ,read.mtcinfo
Child,4,E or e,read.mtcinfo
Child,5,C or c,read.mtcinfo
Child,6,TRUE or True or true or T or t,read.tfng
Child,7,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,8,FALSE or False or false or F or f,read.tfng
Child,9,FALSE or False or false or F or f,read.tfng
Child,10,SUPERMARKETS or Supermarkets or supermarkets,read.sentcom
Child,11,KOREA or Korea,read.sentcom
Child,12,6 or SIX or Six or six,read.mtchead
Child,13,1 or ONE or One or one,read.mtchead
PARENT,ielts17GT2001,,
Child,1,B or b,read.mtcinfo
Child,2,D or d,read.mtcinfo
Child,3,C or c,read.mtcinfo
Child,4,A or a,read.mtcinfo
Child,5,AT RECEPTION or At Reception or At reception or at reception or RECEPTION or Reception or reception,read.shans
Child,6,SCOTTISH BEEF or Scottish Beef or Scottish beef or SCOTTISH or Scottish,read.shans
Child,7,BUFFET BREAKFAST or Buffet Breakfast or Buffet breakfast or buffet breakfast or BREAKFAST or Breakfast or breakfast,read.shans
Child,8,D or d,read.mtcfeat
Child,9,C or c,read.mtcfeat
Child,10,B or b,read.mtcfeat
Child,11,C or c,read.mtcfeat
Child,12,A or a,read.mtcfeat
Child,13,D or d,read.mtcfeat
Child,14,A or a,read.mtcfeat
PARENT,ielts17GT2002,,
Child,1,BAKERY or Bakery or bakery,read.sentcom
Child,2,SPECIALIST ADVISORS or Specialist Advisors or Specialist advisors or specialist advisors,read.sentcom
Child,3,INCONSISTENT or Inconsistent or inconsistent,read.sentcom
Child,4,PHASE or Phase or phase,read.sentcom
Child,5,A REPORT or A Report or A report or a report or REPORT or Report or report,read.sentcom
Child,6,CHANGES or Changes or changes or ENGINEERING WORK or Engineering Work or Engineering work or engineering work,read.sentcom
Child,7,EMPLOYEE AND COMPANY or Employee And Company or Employee and Company or Employee and company or EMPLOYEE COMPANY or Employee Company or Employee company or employee company,read.shans
Child,8,A PROPOSAL or A Proposal or A proposal or a proposal or PROPOSAL or Proposal or proposal,read.shans
Child,9,THE HR DEPARTMENT or The HR Department or The HR department or the HR department or HR DEPARTMENT or HR Department or HR department or HR,read.shans
Child,10,THE SUPERVISOR or The Supervisor or The supervisor or the supervisor or SUPERVISOR or Supervisor or supervisor,read.shans
Child,11,THE HR DEPARTMENT or The HR Department or The HR department or the HR department or HR DEPARTMENT or HR Department or HR department or HR,read.shans
Child,12,IMPROVED or Improved or improved,read.shans
Child,13,COMMUNICATION AND AVAILABILITY or Communication And Availability or Communication and Availability or Communication and availability or communication and availability or COMMUNICATION AVAILABILITY or Communication Availability or Communication availability or communication availability,read.shans
PARENT,ielts17GT2003,,
Child,1,IX or ix,read.mtchead
Child,2,XI or xi,read.mtchead
Child,3,II or ii,read.mtchead
Child,4,VII or vii,read.mtchead
Child,5,I or i,read.mtchead
Child,6,III or iii,read.mtchead
Child,7,TRUE or True or true or T or t,read.tfng
Child,8,FALSE or False or false or F or f,read.tfng
Child,9,FALSE or False or false or F or f,read.tfng
Child,10,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,11,TRUE or True or true or T or t,read.tfng
Child,12,TRUE or True or true or T or t,read.tfng
Child,13,FALSE or False or false or F or f,read.tfng