RefID,ContentItem Name,Title
ielts2016recording01,ielts2016recording01Atom,Interview Skill 1: Comprehensiveness of Responses
ielts2016recording02,ielts2016recording02Atom,Improving Your Responseâ€™ Comprehensiveness
ielts2016recording03,ielts2016recording03Atom,Interview Skill 2: Language Competency
ielts2016recording04,ielts2016recording04Atom,Improving Your Language Competency
ielts2016recording05,ielts2016recording05Atom,Interview Skill 3: Confidence
ielts2016recording06,ielts2016recording06Atom,Improving Your Confidence
ielts2016recording07,ielts2016recording07Atom,Interview 1: Jiro interview 1
ielts2016recording08,ielts2016recording08Atom,Interview 2: Jiro interview 2
ielts2016recording09,ielts2016recording09Atom,Interview 3: Martin interview 1
ielts2016recording10,ielts2016recording10Atom,Interview 4: Martin interview 2
ielts2016recording11,ielts2016recording11Atom,Interview 5: Rupali interview 1
ielts2016recording12,ielts2016recording12Atom,Interview 6: Rupali interview 2